,departamento,Departamento de Matemáticas,,,,,,,,,,,input_type,evidence_kind
,campus,Campus Hermosillo. Universidad de Sonora,,,,,,,,,,,,
,titulo,CRITERIOS DE EVALUACIÓN CURRICULAR PARA EL INGRESO DE PERSONAL ACADÉMICO DE ASIGNATURA,,,,,,,,,,,,
,area,Área de trabajo o asignatura:,,,,,,,,,,,,
,,De circulación internacional ,2,1,0.5,,,,0,0,0,number,,
,VII.E.,Participación como árbitro en publicaciones ,,,,,,,,,,,,
,,De circulación nacional ,0.25,0.125,0.0625,,,,0,0,0,number,,
,,De circulación internacional ,0.5,0.25,0.125,,,,0,0,0,number,,
,VII.F.,Participación como árbitro en ponencias,,,,,,,,,,,,
,,En evento nacional ,0.1,0.05,0.025,,,,0,0,0,number,,
,,En evento internacional ,0.2,0.1,0.05,,,,0,0,0,number,,
,VII.G.,Conferencia por invitación,,,,,,,,,,,,
,,En evento regional o local,0.5,0.25,0.125,,,,0,0,0,number,,
,,En evento nacional,0.75,0.375,0.1875,,,,0,0,0,number,,
,,En evento internacional,1,0.5,0.25,,,,0,0,0,number,,
,VII.H.,Ponencia ,0.25,0.125,0.0625,,,,0,,,,,
,,En evento regional o local,0.25,0.125,0.0625,,,,0,0,0,number,,
,,En evento nacional,0.5,0.25,0.125,,,,0,0,0,number,,
,,En evento internacional,0.75,0.375,0.1875,,,,0,0,0,number,,
,VII.I.,Cartel,,,,,,,,,,,,
,,En evento regional o local,0.1,0.05,0.025,,,,0,0,0,number,,
,,En evento nacional,0.2,0.1,0.05,,,,0,0,0,number,,
,,En evento internacional,0.3,0.15,0.075,,,,0,0,0,number,,
,VII.J.,Proyecto de investigación financiado por instancias regionales o locales,,,,,,,,,,,,
,,Responsable,3,1.5,0.75,,,,0,0,0,number,,
,,Colaborador,2,1,0.5,,,,0,0,0,number,,
,VII.K.,Proyecto de investigación financiado por instancias nacionales o internacionales,,,,,,,,,,,,
,,Responsable,5,2.5,1.25,,,,0,0,0,number,,
,,Colaborador,3,1.5,0.75,,,,0,0,0,number,,
,VII.L.,Obtención de patentes ,,,,,,,,,,,,
,,Solicitud,2,1,0.5,,,,0,0,0,number,,
,,Obtención,2,1,0.5,,,,0,0,0,number,,
,VII.M.,Elaboración de Software con aplicación en el área de desempeño del docente,,,,,,,,,,,,
,,Responsable,3,1.5,0.75,,,,0,0,0,number,,
,,Colaborador,1,0.5,0.25,,,,0,0,0,number,,
,VII.N.,Estancias ,3,0.75,,,,,0,,,number,,
,,Como profesor o investigador asistente,2,1,0.5,,,,0,0,0,number,,
,,Como profesor o investigador invitado ,3,1.5,0.75,,,,0,0,0,number,,
,,Sumas Parciales ,,,,,,,0,0,0,,,
,,"Puntajes máximos por columna:  32.5 puntos para columna C, 65 puntos para la suma de B y C",,,,,,,0,0,0,,,
,,SUBTOTAL,,,,,,,0,,,,,
,,,,,,,,,,,,,,
,VIII.,"ACTIVIDADES GENERALES DE GESTIÓN, EXTENSIÓN Y DIFUSIÓN (max. 60 puntos)",,,,,,,,,,,,
,,,Puntaje Unitario,,,Unidades,,,Puntaje Total,,,,,
,,,,,,En el Dpto. de Matemáticas,En otros Dptos. de la Unison,En otras instituciones,,,,,,
,,,A,B,C,A,B,C,A,B,C,,,
,VIII.A.,Integrante de comité editorial de publicación,3,0.75,,,,,0,,,number,,
,,De catálogo,,,,,,,,,,,,
,,Circulación nacional,2,1,0.5,,,,0,0,0,number,,
,,Circulación internacional,4,2,1,,,,0,0,0,number,,
,,Con arbitraje (no incluida en catálogo) ,,,,,,,,,,,,
,,Circulación nacional,1,0.5,0.25,,,,0,0,0,number,,
,,Circulación internacional,2,1,0.5,,,,0,0,0,number,,
